OBJECTID	NUTS_ID	CNTR_CODE	NUTS_NAME	NAME_LATN	NAME_ASCI	NAME_HTML
848	GR23	GR	Δυτική Ελλάδα	Dytiki Ellada	Dytiki Ellada	Dytiki Ellada
849	GR231	GR	Αιτωλοακαρνανία	Aitoloakarnania	Aitoloakarnania	Aitoloakarnania
850	GR232	GR	Αχαΐα	Achaia	Achaia	Achaia
851	GR233	GR	Ηλεία	Ileia	Ileia	Ileia
852	GR24	GR	Στερεά Ελλάδα	Sterea Ellada	Sterea Ellada	Sterea Ellada
853	GR241	GR	Βοιωτία	Voiotia	Voiotia	Voiotia
854	GR242	GR	Εύβοια	Evvoia	Evvoia	Evvoia
855	GR243	GR	Ευρυτανία	Evrytania	Evrytania	Evrytania
856	GR244	GR	Φθιώτιδα	Fthiotida	Fthiotida	Fthiotida
857	GR245	GR	Φωκίδα	Fokida	Fokida	Fokida
858	GR25	GR	Πελοπόννησος	Peloponnisos	Peloponnisos	Peloponnisos
859	GR251	GR	Αργολίδα	Argolida	Argolida	Argolida
860	GR252	GR	Αρκαδία	Arkadia	Arkadia	Arkadia
861	GR253	GR	Κορινθία	Korinthia	Korinthia	Korinthia
862	GR254	GR	Λακωνία	Lakonia	Lakonia	Lakonia
863	GR255	GR	Μεσσηνία	Messinia	Messinia	Messinia
864	GR3	GR	Attikη	Attiki	Attiki	Attiki
865	GR30	GR	Aττική	Attiki	Attiki	Attiki
866	GR300	GR	Aττική	Attiki	Attiki	Attiki
867	GR4	GR	Nησια Αιγαιου, Kρητη	Nisia Aigaiou, Kriti	Nisia Aigaiou, Kriti	Nisia Aigaiou, Kriti
868	GR41	GR	Βόρειο Αιγαίο	Voreio Aigaio	Voreio Aigaio	Voreio Aigaio
869	GR411	GR	Λέσβος	Lesvos	Lesvos	Lesvos
870	GR412	GR	Σάμος	Samos	Samos	Samos
871	GR413	GR	Χίος	Chios	Chios	Chios
872	GR42	GR	Νότιο Αιγαίο	Notio Aigaio	Notio Aigaio	Notio Aigaio
873	GR421	GR	Δωδεκάνησος	Dodekanisos	Dodekanisos	Dodekanisos
874	GR422	GR	Κυκλάδες	Kyklades	Kyklades	Kyklades
875	GR43	GR	Κρήτη	Kriti	Kriti	Kriti
876	GR431	GR	Ηράκλειο	Irakleio	Irakleio	Irakleio
877	GR432	GR	Λασίθι	Lasithi	Lasithi	Lasithi
878	GR433	GR	Ρεθύμνη	Rethymni	Rethymni	Rethymni
879	GR434	GR	Χανιά	Chania	Chania	Chania
880	HR	HR	Hrvatska	Hrvatska	Hrvatska	Hrvatska
881	HR0	HR	Hrvatska	Hrvatska	Hrvatska	Hrvatska
882	HR01	HR	Sjeverozapadna Hrvatska	Sjeverozapadna Hrvatska	Sjeverozapadna Hrvatska	Sjeverozapadna Hrvatska
883	HR011	HR	Grad Zagreb	Grad Zagreb	Grad Zagreb	Grad Zagreb
884	HR012	HR	Zagrebačka županija	Zagrebačka županija	Zagrebacka zupanija	Zagreba&#x010D;ka &#x017E;upanija
885	HR013	HR	Krapinsko-zagorska županija	Krapinsko-zagorska županija	Krapinsko-zagorska zupanija	Krapinsko-zagorska &#x017E;upanija
886	HR014	HR	Varaždinska županija	Varaždinska županija	Varazdinska zupanija	Vara&#x017E;dinska &#x017E;upanija
887	HR015	HR	Koprivničko-križevačka županija	Koprivničko-križevačka županija	Koprivnicko-krizevacka zupanija	Koprivni&#x010D;ko-kri&#x017E;eva&#x010D;ka &#x017E;upanija
